Date,Close,prediction,prediction_scaled,signal,order,order_cash,holdings,Cash,portfolio_value,signal_2,order_2,holdings_2,Cash_2,portfolio_value_2
2024-04-11 04:00:00,986.0011596679688,2,1,1,0,10,10,92608.82202148438,102468.83361816406,1,0,10,93299.6875,103159.69909667969
2024-04-12 04:00:00,955.8501586914062,2,1,1,0,10,10,92608.82202148438,102167.32360839844,1,0,10,93299.6875,102858.18908691406
2024-04-15 04:00:00,948.8738403320312,2,1,1,0,10,10,92608.82202148438,102097.56042480469,1,0,10,93299.6875,102788.42590332031
2024-04-16 04:00:00,970.836181640625,1,-1,0,-1,10,0,102317.18383789062,102317.18383789062,1,0,10,93299.6875,103008.04931640625
2024-04-17 04:00:00,901.9578247070312,2,1,1,1,10,10,93297.60559082031,102317.18383789062,1,0,10,93299.6875,102319.26574707031
2024-04-18 04:00:00,883.4935913085938,2,1,1,0,10,10,93297.60559082031,102132.54150390625,1,0,10,93299.6875,102134.62341308594
2024-04-19 04:00:00,854.187255859375,2,1,1,0,10,10,93297.60559082031,101839.47814941406,1,0,10,93299.6875,101841.56005859375
2024-04-22 04:00:00,866.6192626953125,2,1,1,0,10,10,93297.60559082031,101963.79821777344,1,0,10,93299.6875,101965.88012695312
2024-04-23 04:00:00,895.9554443359375,1,-1,0,-1,10,0,102257.16003417969,102257.16003417969,1,0,10,93299.6875,102259.24194335938
2024-04-24 04:00:00,886.7631225585938,1,-1,0,0,10,0,102257.16003417969,102257.16003417969,1,0,10,93299.6875,102167.31872558594
2024-04-25 04:00:00,896.8896484375,1,-1,0,0,10,0,102257.16003417969,102257.16003417969,1,0,10,93299.6875,102268.583984375
2024-04-26 04:00:00,915.1463012695312,1,-1,0,0,10,0,102257.16003417969,102257.16003417969,1,0,10,93299.6875,102451.15051269531
2024-04-29 04:00:00,905.984619140625,1,-1,0,0,10,0,102257.16003417969,102257.16003417969,1,0,10,93299.6875,102359.53369140625
2024-04-30 04:00:00,868.8397827148438,1,-1,0,0,10,0,102257.16003417969,102257.16003417969,1,0,10,93299.6875,101988.08532714844
2024-05-01 04:00:00,849.29150390625,2,1,1,1,10,10,93764.24499511719,102257.16003417969,1,0,10,93299.6875,101792.6025390625
2024-05-02 04:00:00,866.658935546875,1,-1,0,-1,10,0,102430.83435058594,102430.83435058594,1,0,10,93299.6875,101966.27685546875
2024-05-03 04:00:00,897.8784790039062,1,-1,0,0,10,0,102430.83435058594,102430.83435058594,1,0,10,93299.6875,102278.47229003906
2024-05-06 04:00:00,913.1048583984375,1,-1,0,0,10,0,102430.83435058594,102430.83435058594,1,0,10,93299.6875,102430.73608398438
2024-05-07 04:00:00,904.4410400390625,1,-1,0,0,10,0,102430.83435058594,102430.83435058594,1,0,10,93299.6875,102344.09790039062
2024-05-08 04:00:00,907.677490234375,1,-1,0,0,10,0,102430.83435058594,102430.83435058594,1,0,10,93299.6875,102376.46240234375
2024-05-09 04:00:00,909.7388916015625,1,-1,0,0,10,0,102430.83435058594,102430.83435058594,1,0,10,93299.6875,102397.07641601562
2024-05-10 04:00:00,926.419189453125,1,-1,0,0,10,0,102430.83435058594,102430.83435058594,1,0,10,93299.6875,102563.87939453125
2024-05-13 04:00:00,913.4235229492188,2,1,1,1,10,10,93296.59912109375,102430.83435058594,1,0,10,93299.6875,102433.92272949219
2024-05-14 04:00:00,911.2227172851562,2,1,1,0,10,10,93296.59912109375,102408.82629394531,1,0,10,93299.6875,102411.91467285156
2024-05-15 04:00:00,933.51953125,1,-1,0,-1,10,0,102631.79443359375,102631.79443359375,1,0,10,93299.6875,102634.8828125
2024-05-16 04:00:00,915.7139282226562,1,-1,0,0,10,0,102631.79443359375,102631.79443359375,1,0,10,93299.6875,102456.82678222656
2024-05-17 04:00:00,921.121337890625,1,-1,0,0,10,0,102631.79443359375,102631.79443359375,1,0,10,93299.6875,102510.90087890625
2024-05-20 04:00:00,935.5311279296875,2,1,1,1,10,10,93276.48315429688,102631.79443359375,1,0,10,93299.6875,102654.99877929688
2024-05-21 04:00:00,921.420166015625,2,1,1,0,10,10,93276.48315429688,102490.68481445312,1,0,10,93299.6875,102513.88916015625
2024-05-22 04:00:00,918.4923095703125,2,1,1,0,10,10,93276.48315429688,102461.40625,1,0,10,93299.6875,102484.61059570312
2024-05-23 04:00:00,930.3627319335938,2,1,1,0,10,10,93276.48315429688,102580.11047363281,1,0,10,93299.6875,102603.31481933594
2024-05-24 04:00:00,952.2413330078125,2,1,1,0,10,10,93276.48315429688,102798.896484375,1,0,10,93299.6875,102822.10083007812
2024-05-28 04:00:00,987.7230834960938,0,0,1,0,10,10,93276.48315429688,103153.71398925781,1,0,10,93299.6875,103176.91833496094
2024-05-29 04:00:00,953.8944702148438,2,1,1,0,10,10,93276.48315429688,102815.42785644531,1,0,10,93299.6875,102838.63220214844
